epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,78.2588,0.34503,0.21928,0.67181,0.87761,0,0.99088,1,0.995,0.94525,0.99088,1,0.995,0.80838,0.26158,0.16069,0.41346,0.7417,0,0.000709809,0.000709809,0.000709809
60,79.5089,0.40808,0.23694,0.64841,0.88505,0,0.99096,1,0.995,0.94525,0.99096,1,0.995,0.84575,0.19867,0.13405,0.45836,0.73074,0,0.000693305,0.000693305,0.000693305
61,80.7617,0.35637,0.69908,0.59787,0.88616,0,0.99081,1,0.995,0.94525,0.99081,1,0.995,0.84575,0.23579,0.12756,0.48307,0.73855,0,0.000676802,0.000676802,0.000676802
62,82.0293,0.4316,0.2235,0.66642,0.90381,0,0.99129,1,0.995,0.8955,0.99129,1,0.995,0.8955,0.28146,0.12134,0.51716,0.73944,0,0.000660299,0.000660299,0.000660299
63,83.3367,0.32104,0.17763,0.61215,0.86355,0,0.99117,1,0.995,0.8955,0.99117,1,0.995,0.94525,0.31998,0.12178,0.49171,0.74621,0,0.000643795,0.000643795,0.000643795
64,84.5833,0.39703,0.20035,0.62623,0.91337,0,0.99051,1,0.995,0.94525,0.99051,1,0.995,0.85813,0.33614,0.12579,0.46579,0.74977,0,0.000627292,0.000627292,0.000627292
65,85.8618,0.33638,0.18051,0.56953,0.8774,0,0.99018,1,0.995,0.94525,0.99018,1,0.995,0.8955,0.32777,0.13763,0.51392,0.7451,0,0.000610789,0.000610789,0.000610789
66,87.1179,0.36154,0.23685,0.63673,0.86293,0,0.98976,1,0.995,0.94525,0.98976,1,0.995,0.8955,0.28173,0.17351,0.49632,0.73879,0,0.000594286,0.000594286,0.000594286
67,88.3593,0.32883,0.57639,0.60566,0.87846,0,0.98771,1,0.995,0.94525,0.98771,1,0.995,0.8955,0.31651,0.19665,0.52647,0.74386,0,0.000577782,0.000577782,0.000577782
68,89.6325,0.39891,0.17208,0.6382,0.87124,0,0.97181,1,0.995,0.94525,0.97181,1,0.995,0.85813,0.31367,0.29163,0.6985,0.80244,0,0.000561279,0.000561279,0.000561279
69,90.8646,0.34375,0.27835,0.62535,0.85719,0,0.97128,1,0.995,0.94525,0.97128,1,0.995,0.80838,0.26677,0.31563,0.72217,0.81358,0,0.000544776,0.000544776,0.000544776
70,92.1196,0.33754,0.28072,0.5911,0.86384,0,0.97755,1,0.995,0.94525,0.97755,1,0.995,0.80838,0.31172,0.29426,0.56762,0.80166,0,0.000528272,0.000528272,0.000528272
71,93.3688,0.33629,0.19689,0.60397,0.88967,0,0.98893,1,0.995,0.94525,0.98893,1,0.995,0.75862,0.33267,0.26479,0.53277,0.78728,0,0.000511769,0.000511769,0.000511769
72,94.6294,0.37477,0.12828,0.61947,0.92999,0,0.99118,1,0.995,0.94525,0.99118,1,0.995,0.84575,0.33757,0.16001,0.49657,0.7573,0,0.000495266,0.000495266,0.000495266
73,95.8977,0.34969,0.24982,0.56292,0.88708,0,0.99188,1,0.995,0.8955,0.99188,1,0.995,0.8955,0.34708,0.13086,0.49065,0.75604,0,0.000478762,0.000478762,0.000478762
74,97.1342,0.35417,0.34034,0.59836,0.88948,0,0.99259,1,0.995,0.8955,0.99259,1,0.995,0.94525,0.35135,0.11091,0.44209,0.73929,0,0.000462259,0.000462259,0.000462259
75,98.4122,0.34772,0.20083,0.65828,0.92174,0,0.99272,1,0.995,0.94525,0.99272,1,0.995,0.94525,0.33721,0.11119,0.39899,0.73453,0,0.000445756,0.000445756,0.000445756
76,99.676,0.33153,0.16429,0.56692,0.89636,0,0.99256,1,0.995,0.94525,0.99256,1,0.995,0.94525,0.27567,0.11304,0.40261,0.72672,0,0.000429253,0.000429253,0.000429253
